province,year,co2_actual,log_Population,log_pGDP,Industry,Urbanization,EnergyIntensity,model,split,log_co2_pred,co2_pred,abs_pct_err,CoalShare,OilShare,GasShare,NonFossilShare,log_Energy
Jiangsu,1992,140.327,8.840869624091395,-1.1741700607592642,47.58979750345223,19.73070366876722,1.0363662691988436,structure_drivers,train,4.565954095780268,96.15429066885996,0.3147841066305133,49.75674735168362,36.12712362129546,0.0005233931280991,15.969764852601967,
Jiangsu,1993,154.775,8.848939995030118,-0.8431859488790373,48.53128285576506,21.73230969790185,0.8581836775648979,structure_drivers,train,4.732847576711661,113.61863992932446,0.2659109033802329,49.35046951842399,35.237396797352375,0.0010666688244934,16.93916272088637,
Jiangsu,1994,161.654,8.85666093701725,-0.5483657482855804,49.39330761587177,23.8282025802385,0.7336533012694196,structure_drivers,train,4.8865696347653,132.49827609863507,0.18035881513210267,48.929130300981086,34.36317773841829,0.0021162907028459,17.9277902261798,
Jiangsu,1995,191.59,8.86304982791909,-0.3152789360387149,50.17518026401925,26.00764842524928,0.6649309951278585,structure_drivers,train,5.01747182567852,151.02899310149016,0.21170732761892502,48.49280281276134,33.50474529044781,0.0040875528238097,18.932738770542883,
Jiangsu,1996,192.364,8.869257522797287,-0.16904135397339204,51.2,28.258324589947524,0.6544029015007384,structure_drivers,train,5.1192730728888085,167.21377320548535,0.13074289781099713,48.04157403229935,32.66233648791255,0.0076858286967988,19.95095577153883,
Jiangsu,1997,187.375,8.87458787627932,-0.06766371284030404,51.1,30.56661443324708,0.8700737655867814,structure_drivers,train,5.274233252146969,195.24071870475785,0.04197848541565232,52.79408659946051,27.6131562804238,0.0228821590621021,19.569874961053603,
Jiangsu,1998,190.697,8.879333174786028,0.0024961857495613654,50.6,32.91795544525996,0.8183742584601285,structure_drivers,train,5.324919026002899,205.3917284021897,0.07705799463121966,52.510439780293126,27.77889839124382,0.0293436107073426,19.68131821775569,
Jiangsu,1999,197.627,8.883640232503673,0.06505221836983491,50.92546,35.29722158058454,0.7503927807872878,structure_drivers,train,5.383277492155132,217.73473112636404,0.10174587038392542,50.4704309939939,26.916355608364533,0.0460495337926865,22.56716386384889,
Jiangsu,2000,203.584,8.899321434159964,0.15818561339517326,51.68391,37.6891184016618,0.7003412337809445,structure_drivers,train,5.366371782176112,214.08471093280852,0.051579254424751045,43.270271584034106,32.38120617039463,0.0508914060017346,24.29763083956953,
Jiangsu,2001,204.837,8.903679332926599,0.25081423526121827,51.6,40.078569430500345,0.5924302421104725,structure_drivers,train,5.391968688789726,219.6353538678369,0.07224453525406499,36.90918260349737,33.53651714065098,0.0522265166191261,29.502073739232536,
Jiangsu,2002,221.543,8.910045761473558,0.35920953632731806,52.2,42.45107385583342,0.6112769948288135,structure_drivers,train,5.492412254849425,242.84229839123026,0.09614069680030626,38.11580658762478,31.82074999304775,0.2051290469173862,29.85831437241008,
Jiangsu,2003,254.455,8.917042560738766,0.5118604863410441,54.46756,44.79301912735014,0.5777423899470139,structure_drivers,train,5.589184916393369,267.51748171153895,0.051335134744999844,37.83028689539125,32.00990581345753,0.1128565262853608,30.04695076486585,
