province,year,CO2,GDP,Population,Energy,Industry,S,Urbanization,A,B,C,CO2_source
Shanxi,2001,197.808,2029.53,3272.0,5256.422829315954,51.6,0.516,37.0482224713395,0.6202720048899756,5.019322674849217,0.03763167584175145,MEIC_1990_2022
Sichuan,2001,124.324,4293.49105,8143.0,4027.669197295894,39.7,0.397,34.21444159679939,0.5272615804985877,2.362940167699314,0.030867480398705273,MEIC_1990_2022
Tianjin,2001,57.886,1919.09,1004.0,5895.259009736593,49.2,0.49200000000000005,47.869047690982136,1.9114442231075697,6.243706006298412,0.009819076635037689,MEIC_1990_2022
Tibet,2001,1.172,146.03516,264.0,0.0,23.2,0.23199999999999998,27.37068685004732,0.5531634848484848,0.0,inf,MEIC_1990_2022
Xinjiang,2001,76.554,1491.6,1876.0,921.436589594723,42.4,0.424,34.72944890818312,0.7950959488272921,1.4569586375443415,0.0830811375025501,MEIC_1990_2022
Yunnan,2001,70.324,2138.31,4287.4,1840.7836542154255,42.5,0.425,32.24437058285674,0.49874282782105706,2.02555085884529,0.038203294471328475,MEIC_1990_2022
Zhejiang,2001,128.881,6898.33884,4729.0,8337.192096643024,51.3,0.513,41.44298576098569,1.4587309875237895,2.355905794517032,0.015458561888227815,MEIC_1990_2022
Anhui,2002,144.987,3519.71951,6144.0,5066.9882635653885,43.5,0.435,30.7,0.5728710139973958,3.3094253245650007,0.028614039042194235,MEIC_1990_2022
Beijing,2002,74.027,4330.4,1423.2,7202.331284425936,34.8,0.348,51.7685273183767,3.0427206295671723,4.7793169835562015,0.010278199804565133,MEIC_1990_2022
Chongqing,2002,72.953,1990.01,2814.83,1824.4254709381012,42.0,0.42,40.604696057132024,0.7069734229065343,2.1828383620686536,0.03998683484861035,MEIC_1990_2022
Fujian,2002,65.226,4467.55,3476.0,2632.159636544021,46.1,0.461,41.42463342635426,1.2852560414269276,1.278032441043232,0.024780411907554582,MEIC_1990_2022
Gansu,2002,62.213,1232.0302,2531.0,3853.6299410605425,45.7,0.457,33.94205022671865,0.4867760568945081,6.84435384529857,0.016143999541086865,MEIC_1990_2022
Guangdong,2002,232.503,13502.42486,8842.08,7478.389235973882,50.4,0.504,44.524672150395205,1.5270643174456688,1.0989191967183116,0.031089983773721293,MEIC_1990_2022
Guangxi,2002,57.466,2523.73,4822.0,1801.4864144695605,35.2,0.35200000000000004,35.32352983752635,0.5233782662795521,2.027894874656083,0.03189921363737878,MEIC_1990_2022
Guizhou,2002,93.337,1243.43,3837.0,2403.1198602699324,40.1,0.401,33.17383076588831,0.3240630701068543,4.819585828440832,0.038839927022831,MEIC_1990_2022
Hainan,2002,10.197,621.97402,803.13,0.0,20.7,0.207,38.64357167776664,0.7744375381320583,0.0,inf,MEIC_1990_2022
