province,year,base_year,delta_CO2,delta_P,delta_A,delta_S,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
Sichuan,2010,2009,31.17999999999995,-4.788276724570851,58.70354987363015,17.582602986536635,-88.45527795786643,48.13740182227031,1.3500311979441904e-13,4.329798582245646e-15,4.329798582245646e-15
Sichuan,2011,2010,-0.5310000000000059,0.6915404506832445,58.44650617687059,11.386224162219174,-56.32954233663856,-14.725728453134446,-1.2434497875801753e-14,2.3417133476085904e-14,2.3417133476085904e-14
Sichuan,2012,2011,17.678000000000054,0.7845145377561353,37.508687726596186,-4.850877701628398,-24.60471727945452,8.840392716730562,8.526512829121202e-14,4.823233866456147e-15,4.823233866456147e-15
Sichuan,2013,2012,10.694999999999993,0.936312877026955,30.7548203451435,0.22933138789934568,-45.433677587692294,24.208212977622594,-1.0658141036401503e-13,9.965536265920065e-15,9.965536265920065e-15
Sichuan,2014,2013,-6.713000000000022,1.1739218914976006,23.662149693609887,-17.70066561154598,43.707427321625126,-57.55583329518671,4.973799150320701e-14,7.409204752451489e-15,7.409204752451489e-15
Sichuan,2015,2014,-13.930999999999983,2.1462578780437105,13.776743794281492,-31.897649236198557,-30.410088067263118,32.453735631136375,1.1368683772161603e-13,8.160709046128503e-15,8.160709046128503e-15
Sichuan,2016,2015,-15.805000000000007,1.9572834510104193,24.8364712918033,-22.39047776069694,-10.800502767843831,-9.407774214272981,2.6645352591003757e-14,1.6858812142362382e-15,1.6858812142362382e-15
Sichuan,2017,2016,1.8070000000000164,1.3128611745794698,31.790954197985915,-15.010381388816265,-15.461846131963666,-0.8245878517853806,-5.906386491005833e-14,3.268614549532805e-14,3.268614549532805e-14
Sichuan,2018,2017,-21.18100000000004,1.063064071163387,25.23206484162678,-7.765910654242746,-51.31309553873679,11.602877280189404,-7.815970093361102e-14,3.690085498022326e-15,3.690085498022326e-15
Sichuan,2019,2018,14.283999999999992,0.9807686187482192,36.15026483365082,-2.6899876055879393,-3.1642647821877534,-16.992781064623255,-1.0658141036401503e-13,7.46159411677507e-15,7.46159411677507e-15
Sichuan,2020,2019,-7.992999999999995,0.6595175736428478,10.826072333244506,-8.253196065036866,7.7768095857805335,-19.00220342763107,5.3290705182007514e-14,6.667171923183729e-15,6.667171923183729e-15
Sichuan,2021,2020,8.503000000000043,0.03296466198230402,28.286218097224648,5.707747610626108,-37.524466145797724,12.000535775964712,-5.329070518200751e-15,6.267282745149623e-16,6.267282745149623e-16
Sichuan,2022,2021,-6.999000000000024,0.06609882948614337,14.443823211460675,2.5600286006859365,-31.29835391885639,7.229403277223554,5.684341886080802e-14,8.121648644207433e-15,8.121648644207433e-15
Tianjin,1991,1990,1.0549999999999997,1.0470569699299261,2.5977165301834706,0.8942110636162088,-4.246098414628386,0.7621138508987895,-9.325873406851315e-15,8.839690433034423e-15,8.839690433034423e-15
Tianjin,1992,1991,1.8930000000000007,0.4692810073279875,6.630498313405445,1.828529261318829,-7.741452232223171,0.7061436501709016,8.43769498715119e-15,4.457313780851129e-15,4.457313780851129e-15
Tianjin,1993,1992,9.636999999999993,0.38626352737842407,11.700052999436576,3.1517341209529994,-12.740903169781115,7.139852522013113,-5.329070518200751e-15,5.529802343261134e-16,5.529802343261134e-16
Tianjin,1994,1993,0.2560000000000002,0.3737325492338345,14.38502442122447,0.44229973372231884,-11.655141403098662,-3.2899153010819506,-9.325873406851315e-15,3.642919299551292e-14,3.642919299551292e-14
Tianjin,1995,1994,3.308,0.38410519438104057,12.538413731148845,0.8675059361640567,-9.651273328486827,-0.8307515332071381,2.3092638912203256e-14,6.980846104051771e-15,6.980846104051771e-15
Tianjin,1996,1995,-4.027999999999999,0.32462685759133497,8.262121796143648,-0.22549401833959398,-7.176454936121626,-5.212799699273754,-7.105427357601002e-15,1.7640087779545691e-15,1.7640087779545691e-15
Tianjin,1997,1996,0.8090000000000046,0.2606234267281596,5.582855406866576,-1.039100796644986,17.51762644073593,-21.513004477685662,-1.4210854715202004e-14,1.756595144029904e-14,1.756595144029904e-14
Tianjin,1998,1997,0.26899999999999835,0.20977781286926775,3.5230389241408946,-2.472583981949896,9.611428696412677,-10.602661451472951,5.329070518200751e-15,1.981067107137838e-14,1.981067107137838e-14
Tianjin,1999,1998,1.0619999999999976,0.10594606767673971,4.037156538656594,-0.3126513168109698,-2.2417446698641816,-0.5267066196581891,3.552713678800501e-15,3.345304782298031e-15,3.345304782298031e-15
Tianjin,2000,1999,3.728999999999999,2.2770780948888243,4.241250947222916,1.0003745493219687,-1.0290601189123152,-2.760643472521409,1.3766765505351941e-14,3.691811613127365e-15,3.691811613127365e-15
Tianjin,2001,2000,2.8760000000000048,0.16888527409728774,8.722301710431083,-0.9440015960732667,1.9972956647901003,-7.068481053245192,-8.881784197001252e-15,3.088242071279985e-15,3.088242071279985e-15
Tianjin,2002,2001,4.989999999999995,0.180049718107755,6.697758230199053,-0.49262819762383847,-1.6468796582374587,0.251699907554487,-2.6645352591003757e-15,5.339750018237231e-16,5.339750018237231e-16
Tianjin,2003,2002,4.265999999999998,0.25762438017684036,11.517953959767166,2.7083376853857013,-9.549156118333697,-0.6687599069959868,-2.7533531010703882e-14,6.454179796226886e-15,6.454179796226886e-15
Tianjin,2004,2003,10.590000000000003,0.923846837313353,12.663441522901477,3.2472359396233923,-4.377866658211429,-1.8666576416267835,-5.329070518200751e-15,5.032172349575778e-16,5.032172349575778e-16
Tianjin,2005,2004,5.718999999999994,1.4810245000876001,16.84480499468249,3.3889214687485207,-21.617046663332445,5.621295699813806,2.220446049250313e-14,3.88257745978373e-15,3.88257745978373e-15
Tianjin,2006,2005,6.38600000000001,2.6171513859258355,8.930837259851266,2.461402276327776,-12.319743947580983,4.696353025476102,1.3322676295501878e-14,2.0862318032417565e-15,2.0862318032417565e-15
Tianjin,2007,2006,7.584999999999994,3.418764570949399,11.833625881561291,0.3271970886114468,-14.243350029557478,6.248762488435332,1.7763568394002505e-15,2.3419338686885324e-16,2.3419338686885324e-16
Tianjin,2008,2007,3.100999999999999,5.2712839454888645,19.092482255478377,4.721514248496856,-28.356479358319934,2.3721989088558497,-1.3766765505351941e-14,4.439460014624942e-15,4.439460014624942e-15
Tianjin,2009,2008,7.049999999999997,4.500223897841977,7.2393142347593935,-13.075692941383956,10.459378467717682,-2.073223658935053,-4.796163466380676e-14,6.80306874663926e-15,6.80306874663926e-15
Tianjin,2010,2009,9.76700000000001,6.316969277760431,16.614958429318477,-1.0652759820109394,-11.178131473382981,-0.9215202516850232,4.263256414560601e-14,4.364959982144565e-15,4.364959982144565e-15
Tianjin,2011,2010,15.387,3.9736479907196633,21.449528309427084,-0.23808499644721604,-16.21515809843574,6.4170667947362094,1.7763568394002505e-15,1.1544530053943267e-16,1.1544530053943267e-16
Tianjin,2012,2011,4.972000000000008,3.6797543452370007,14.072525022422253,-1.8652233463912211,-3.886498596890953,-7.028557424377142,6.838973831690964e-14,1.375497552632935e-14,1.375497552632935e-14
Tianjin,2013,2012,-1.6550000000000011,3.1420566585205822,12.377413837196995,-2.895995398149807,-12.664216633264491,-1.6142584643031952,-8.459899447643693e-14,5.1117217206306265e-14,5.1117217206306265e-14
Tianjin,2014,2013,-0.6630000000000109,1.8165346035439218,9.750654280850249,-3.807807345457087,-3.822226649854322,-4.60015488908279,1.865174681370263e-14,2.813234813529762e-14,2.813234813529762e-14
