province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual
Hubei,2015,279.555,29550.18814,5850.0,12685.119114600002,5902.023771,3742.481946,469.49,2571.1233976000003,46.52714505618663,29.50293105007245,3.7011083282587247,20.26881556548218,45.69703,57.18,4062.285,498.6342,5.051314211965812,0.4292737174633773,0.022038027193473,MEIC_1990_2023,5.051314211965812,0.009460345858901188,5.633199053200738,10.293845389649848,8.674196940225903,9.448184862182437,6.211872760794892,1.6196484494239451,-4.660646336449109,12,9.545771080946874,-0.0975862187644374
Hubei,2016,281.839,32665.38,5885.0,12646.935225076097,5890.768678922027,3652.508614069289,471.6188767728119,2632.039055311968,46.57862615791632,28.880582916461584,3.72911593504247,20.81167499057964,44.86211,58.57,4138.2,588.6932,5.550616822429907,0.3871663279311643,0.0222851619767273,MEIC_1990_2023,5.550616822429907,0.008628064329880747,5.641335985914283,10.394071080453779,8.680162019694377,9.44517019010487,6.377905165092695,1.7139090607594023,-4.752735094539496,12,9.590388593584931,-0.14521840348006165
Hubei,2017,295.164,35478.09,5904.0,13065.370965561036,5978.3922575554,3732.6267767232,550.3834073480257,2803.9685239344108,45.75753932524245,28.56885416083491,4.21253563177639,21.461070882146256,43.52475,59.88,4215.544,679.8085,6.009161585365853,0.3682659062413179,0.0225913218061715,MEIC_1990_2023,6.009161585365853,0.008319613598139021,5.68753113407015,10.476670601829026,8.683385366280309,9.477720571394787,6.521811140861398,1.7932852355487174,-4.789139467758876,12,9.624689670874673,-0.146969099479886
Hubei,2018,290.069,39366.55,5917.0,12754.0904814,5057.2458830000005,3947.276832,715.54,3034.027766400001,39.65195237069443,30.949104820579198,5.610278530197914,23.788664278528465,43.41,61.0,4340.552,772.3954,6.653126584417779,0.323982936818187,0.0227432132791455,MEIC_1990_2023,6.653126584417779,0.007368413030859956,5.670118825713903,10.580671749922775,8.685584842676693,9.453607321204764,6.649496595073135,1.8950869072460808,-4.910552924208872,12,9.632044455451311,-0.17843713424654695
Hubei,2019,310.388,45828.31,5927.0,13203.6154422,4891.959373,4270.408023999999,775.124,3266.1240452000006,37.05015035022026,32.34271736172634,5.8705435900732965,24.736588697980103,41.7,61.83,5164.849,861.0585,7.732125864687025,0.28811045928161,0.0235078037041256,MEIC_1990_2023,7.732125864687025,0.006772844121897578,5.73782312776794,10.732657301414134,8.687273461787838,9.488245968207853,6.758162446370496,2.045383839626296,-4.994834173646194,12,9.683465785111206,-0.19521981690335366
Hubei,2020,284.809,43443.46,5745.0,12387.9035042,4678.184517000001,3884.748102000001,703.836,3121.1348852,37.764134305808135,31.359205378722184,5.681639348913003,25.19502096655668,39.2,62.89,5185.0,931.98,7.561959965187119,0.2851500203759093,0.0229908959093391,MEIC_1990_2023,7.561959965187119,0.006555854437008471,5.651818780162111,10.679215601527998,8.656085190282855,9.424475751605216,6.837311355227871,2.023130411245142,-5.027396821365887,12,9.601923862113429,-0.1774481105082124
Hubei,2021,321.708,50012.9,5830.0,13705.687364200005,4961.633795000001,4448.4596440000005,799.9950000000001,3495.5989252000004,36.20127661718052,32.45703426461935,5.836956430872854,25.504732687327262,37.896,64.09,5226.934,1006.3452,8.578542024013723,0.274043044178602,0.023472591446987,MEIC_1990_2023,8.578542024013723,0.006432500414892958,5.773644301825118,10.820036251134006,8.670772279344538,9.52556616174407,6.9140804329533045,2.1492639717894684,-5.046391949308888,12,9.681673469109972,-0.15610730736590206
Hubei,2022,333.748,53734.9,5844.0,14111.482899600003,5360.007646000001,4168.00711,743.869,3839.599143600001,37.98330539841375,29.536280061099347,5.271373712404706,27.209040828082188,39.5,64.67,5602.973,1071.3892,9.194883641341548,0.2626129926658466,0.023650809937874,MEIC_1990_2023,9.194883641341548,0.00621100997675626,5.8103862171871405,10.891817976289062,8.67317077287059,9.554744134973175,6.976711403127247,2.218647203418471,-5.08143175910192,12,9.759070352720888,-0.2043262177477132
Hubei,2023,348.203,55803.6,5838.0,13548.500734981542,,,,,33.092027051487044,33.503564803076536,7.170088770009194,27.266095843872144,38.31704503396009,66.13833457347648,5679.4,1133.762,9.558684480986638,0.2427890088628967,0.0257004820541476,MEIC_1990_2023,9.558684480986638,0.0062397945652251825,5.852785643035055,10.929593662417359,8.67214355141406,9.5140311733212,7.0332965857173235,2.2574501110032985,-5.0768080193823035,12,9.748178436171083,-0.2341472628498824
Hunan,1990,74.885,744.44,6128.0,823.2160977541779,,,,,72.36913112101895,24.574604908568563,0.0003126207736968,7.744791004732742,29.00343850482868,22.00934941306123,2500.0,18.7524,0.1214817232375979,1.1058192705311076,0.090966394127003,MEIC_1990_2023,0.12148172323759791,0.10059239159636774,4.315953603444359,6.612632257875763,8.720623711420426,6.71321873942361,2.931321744225119,-2.107991453544664,-2.296678654431404,13,7.145407166753968,-0.4321884273303578
