province,year,base_year,delta_CO2,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio,delta_P,delta_A,delta_B,delta_C
Guangxi,2018,2017,11.96799999999999,1.1013412404281553e-13,9.202383359192482e-15,9.202383359192482e-15,1.678265866406055,17.789935407480762,-28.94478421369529,21.444582939808353
Guangxi,2019,2018,15.75399999999999,-7.460698725481052e-14,4.735748841869402e-15,4.735748841869402e-15,1.554855472387616,7.828703781590429,-1.0854654251551081,7.455906171177127
Guangxi,2020,2019,18.64500000000001,1.3855583347321954e-13,7.431259505133787e-15,7.431259505133787e-15,1.7589279104029554,8.317350224945585,13.404978826908629,-4.836256962257299
Guangxi,2021,2020,11.556999999999988,-2.184918912462308e-13,1.890558892846163e-14,1.890558892846163e-14,0.9053511686489097,26.993529439427746,-15.080181263146343,-1.2616993449301066
Guangxi,2022,2021,-8.222999999999985,1.3500311979441904e-13,1.6417745323412293e-14,1.6417745323412293e-14,0.5049255263351734,15.061679967359085,-8.738440672602438,-15.05116482109194
Guangxi,2023,2022,10.457999999999998,-1.4210854715202004e-14,1.3588501353224332e-15,1.3588501353224332e-15,-1.0152380037774957,9.632424905362532,-5.630547803988981,7.4713609024039584
Guizhou,1991,1990,1.0650000000000048,-4.440892098500626e-15,4.1698517356813204e-15,4.1698517356813204e-15,0.5677097110755345,4.553071762286777,-1.13408808673906,-2.921693386623242
Guizhou,1992,1991,1.9570000000000007,3.552713678800501e-15,1.8153876743998466e-15,1.8153876743998466e-15,0.5686390825702045,5.1528278267159076,-1.7019270087430098,-2.062539900543104
Guizhou,1993,1992,3.439,-8.881784197001252e-16,2.582664785403097e-16,2.582664785403097e-16,0.6231748837786242,8.432294321489657,-4.900355222015144,-0.7161139832531359
Guizhou,1994,1993,1.2199999999999989,4.440892098500626e-16,3.6400754905742873e-16,3.6400754905742873e-16,0.6606987691482571,9.877488044702913,-6.293492689192574,-3.024694124658597
Guizhou,1995,1994,18.906999999999996,1.4210854715202004e-14,7.516186975830119e-16,7.516186975830119e-16,0.8014626707164118,9.98242769077765,-5.824921041168248,13.94803067967417
Guizhou,1996,1995,4.659999999999997,-5.062616992290714e-14,1.0863984961997248e-14,1.0863984961997248e-14,0.9065874992293067,6.922537410154499,-1.9735684572158236,-1.1955564521679347
Guizhou,1997,1996,6.944000000000003,2.6645352591003757e-14,3.837176352391092e-15,3.837176352391092e-15,1.052531143391197,6.730970628553484,6.626623870032518,-7.466125641977223
Guizhou,1998,1997,5.0460000000000065,-3.552713678800501e-15,7.040653346810337e-16,7.040653346810337e-16,1.1441834862343456,3.637915975896297,-0.1615238476665748,0.4254243855359427
Guizhou,1999,1998,1.468999999999994,-3.1530333899354446e-14,2.1463807964162406e-14,2.1463807964162406e-14,1.1743576097159374,5.468865280250237,-8.359163189163853,3.1849402991977036
Guizhou,2000,1999,4.978999999999999,2.3092638912203256e-14,4.6380074135776785e-15,4.6380074135776785e-15,1.0646749164222447,6.346490881247062,-7.717125274683838,5.284959477014507
Guizhou,2001,2000,-0.12199999999999989,-1.9539925233402755e-14,1.6016332158526863e-13,1.6016332158526863e-13,1.0114299552837636,10.681338600877421,-7.375552248278163,-4.439216307883001
Guizhou,2002,2001,4.5460000000000065,7.105427357601002e-15,1.5630064578972705e-15,1.5630064578972705e-15,0.906166001988103,7.539761599076541,-2.565459520381724,-1.3344680806829208
Guizhou,2003,2002,23.942999999999998,-1.4210854715202004e-14,5.935285768367374e-16,5.935285768367374e-16,0.8979316324788892,13.491926909002716,0.81042417621807,8.742717282300335
Guizhou,2004,2003,11.77000000000001,4.618527782440651e-14,3.923982822804288e-15,3.923982822804288e-15,1.076523765212706,18.906756694892735,-3.124720425721486,-5.088560034383991
Guizhou,2005,2004,19.35899999999998,7.105427357601002e-14,3.670348343200067e-15,3.670348343200067e-15,-6.314877033507809,31.01986523881331,-16.7746335480595,11.428645342753908
