province,province_id,year,true_energy,true_co2,target_stirpat_log,co2_per_energy,pred_residual,stirpat_energy_pred,hybrid_energy_pred,stirpat_co2_pred,hybrid_co2_pred,split
Guangxi,6,2018,7777.018352400005,212.761,8.964610737656436,0.02735765692700745,-0.0016434155,7821.336584406195,7808.493434522872,213.97344298683691,213.62208449846685,train
Guangxi,6,2019,8075.207383799995,228.515,8.998527038637054,0.02829834444356601,-0.0012638867,8091.15718400196,8080.937337853472,228.96635293992105,228.6771482134509,train
Guangxi,6,2020,8913.592082800005,247.16,9.092478428733125,0.027728439635119624,0.00030507892,8888.187515790647,8890.899528139496,246.4555709972248,246.53077086792956,train
Guangxi,6,2021,9377.050300200008,258.717,9.144748091619283,0.027590446005657226,0.0006575249,9365.126210530794,9371.286039231243,258.38800904781516,258.557961468979,valid
Guangxi,6,2022,9631.954696399995,250.494,9.172629252348752,0.026006559197545184,0.00045223534,9629.910899382076,9634.266870309912,250.44084787186551,250.55413168766307,valid
Guangxi,6,2023,9745.123533759024,260.952,9.184784312573026,0.02677770056952187,0.0008718632,9747.677325367296,9756.179672573602,261.02038466700327,261.2480579746318,valid
Guizhou,7,1993,1748.7084044860121,45.688,7.453288387191249,0.026126711510504132,0.017447386,1725.528030376753,1755.8981530802776,45.08237305294183,45.87584448735544,train
Guizhou,7,1994,1916.6230047709162,46.908,7.547145453181385,0.024474296657837867,0.015134975,1895.3247089012204,1924.2285795242801,46.386739188578666,47.094141092767195,train
Guizhou,7,1995,2094.6556044263784,65.815,7.636908782647136,0.031420439646938254,0.011748377,2073.3248027909376,2097.8266513618055,65.14477683459282,65.91463568885219,train
Guizhou,7,1996,2282.6808308770055,70.475,7.720722537048401,0.030873786228328527,0.008104987,2254.5880155656987,2272.9356764611334,69.60766842552681,70.17413018580233,train
Guizhou,7,1997,2774.2070060000015,77.419,7.908383383022757,0.027906713461742293,0.005714095,2719.9897285723764,2735.576498551596,75.90597397415151,76.34094949775567,train
Guizhou,7,1998,2939.334644000002,82.465,7.963770204725856,0.02805566905025054,0.0052661374,2874.8914750947542,2890.0709822787676,80.65700378064503,81.0828750105456,train
Guizhou,7,1999,2879.3319399999987,83.934,7.94447798022571,0.029150511906591774,0.0049442053,2819.960002231473,2833.9369874451186,82.20327762116112,82.61071389504976,train
Guizhou,7,2000,2869.153640599999,88.913,7.942392395503792,0.030989278072054174,0.004092656,2814.0848654117663,2825.6255468457375,87.20645841260436,87.5640957987027,train
Guizhou,7,2001,3012.004918800001,88.791,7.99146423929907,0.029479035524077046,0.0025305143,2955.6215298054726,2963.110243393648,87.12887207286248,87.34963212675794,train
Guizhou,7,2002,3212.965914800003,93.337,8.055084729834071,0.02905010587571391,0.00091364793,3149.7700521387637,3152.6491480817313,91.501153498784,91.58479154075356,train
Guizhou,7,2003,3714.1937522000007,117.28,8.197550157626374,0.031576166410417446,-0.0004036799,3632.0414700684,3630.5755837986967,114.68594586841701,114.63965879962612,train
Guizhou,7,2004,4259.465941800005,129.05,8.333172607576714,0.03029722546518707,-0.0015206486,4159.5933978491685,4153.272924804868,126.02413901813983,125.83264622127004,train
Guizhou,7,2005,4510.468262800003,148.409,8.399307592157657,0.03290323561835039,-0.0025479794,4443.988629587862,4432.679851690988,146.22160496459946,145.849509580903,train
Guizhou,7,2006,4917.834646199999,172.506,8.48933586919402,0.03507763322894457,-0.0040188488,4862.635574552323,4843.13259360891,170.56974721016454,169.88562879776038,train
Guizhou,7,2007,4937.319986000003,181.073,8.502866651736285,0.03667434975116883,-0.0050251856,4928.877984267598,4904.171586486156,180.7633950758659,179.8573040025378,train
Guizhou,7,2008,4730.572462555559,169.98,8.471544656822674,0.03593222624649812,-0.0062486418,4776.888426981053,4747.1324265905205,171.6442357125617,170.5750363743382,train
Guizhou,7,2009,5079.402689600002,188.285,8.543556292369216,0.03706833490195818,-0.008025873,5133.568407578398,5092.53193422974,190.29283297422825,188.7716792369449,train
Guizhou,7,2010,5326.363409499997,192.441,8.596830400511932,0.03612990425263997,-0.00878874,5414.470661305305,5367.092785888297,195.6243065716889,193.9125484691789,train
Guizhou,7,2011,5912.303450600002,207.455,8.70184928645636,0.03508869288144315,-0.011226449,6014.023592414301,5946.885031257142,211.02422681597884,208.66842246303332,train
Guizhou,7,2012,6837.294476553389,225.73,8.844929040626349,0.0330145206958803,-0.0112623125,6939.111647512453,6861.399633355044,229.09144509782394,226.52582019810563,train
Guizhou,7,2013,6644.119311599994,243.133,8.82229886663455,0.03659371371846273,-0.010752888,6783.841861123697,6711.286754270591,248.24596697728393,245.5909061682889,train
Guizhou,7,2014,6854.6143986,231.57,8.855290223594867,0.03378308195531703,-0.011156606,7011.382813770359,6933.5943159627195,236.86612021770537,234.2381850210889,train
Guizhou,7,2015,7053.883713200001,223.951,8.884917480792781,0.03174860957530649,-0.011731051,7222.218677926395,7137.989477411635,229.2954010729713,226.62124107098796,train
Guizhou,7,2016,7219.929333000004,247.785,8.909080012800322,0.03431958798647151,-0.011396654,7398.851117893349,7315.007647074881,253.92552193934384,251.04804856549828,train
Guizhou,7,2017,7355.093562539999,256.629,8.93012298874179,0.03489133045254913,-0.011513285,7556.194645976704,7469.696912960957,263.64568435655565,260.62766337050687,train
Guizhou,7,2018,7178.510765000004,257.556,8.90895880961612,0.035878750959844795,-0.011622485,7397.954407921573,7312.469531088818,265.4293638141042,262.36227320738874,train
Guizhou,7,2019,7351.724866800003,268.556,8.934148770833275,0.036529658667285636,-0.010889197,7586.675552639548,7504.510915066815,277.1386683573633,274.13722219231016,train
Guizhou,7,2020,7395.287563399999,271.218,8.940981945400102,0.03667443593975768,-0.009562351,7638.694154761711,7565.998406582056,280.1447994422098,277.4787238825023,train
Guizhou,7,2021,7717.259004109666,273.553,8.985554696493864,0.03544691189635139,-0.009156123,7986.873787040544,7914.078758500289,283.1100114565045,280.5296524933457,valid
Guizhou,7,2022,7456.250338600003,273.589,8.953538866094382,0.03669257167824245,-0.009434447,7735.217380434128,7662.583055494073,283.82501817836607,281.1598780042023,valid
Guizhou,7,2023,7878.279671500241,279.191,9.00575803843541,0.035438066639088266,-0.008989193,8149.876383371584,8076.943868661112,288.81586237425387,286.23127505778785,valid
Hainan,8,1993,219.32853149903022,3.273,5.413061215447456,0.014922819104428607,-0.0013050251,224.31722105160154,224.0246723874836,3.347445311761174,3.3430796609673,train
Hainan,8,1994,247.97954347402754,3.333,5.538055812128055,0.01344062479229899,-0.00264287,254.18333859339626,253.5124520096989,3.4163828824877305,3.407365747638067,train
Hainan,8,1995,279.4591181497482,4.607,5.653646183994205,0.016485416652361078,-0.0024494268,285.32993689408477,284.63189734719913,4.703782893090881,4.692275420320645,train
Hainan,8,1996,313.90802265936054,5.029,5.7679650428578615,0.016020616349322343,-0.001371555,319.88611533050226,319.44767466136705,5.124772729185057,5.117748639432902,train
Hainan,8,1997,231.37504699999997,5.949,5.476949826536281,0.025711502070489046,0.0006359294,239.11624789244829,239.26835730615954,6.148037902774256,6.151948864279834,train
Hainan,8,1998,1443.663594800001,8.328,7.221602185681835,0.00576865692949314,-0.0018624775,1368.6801847407562,1366.133421057928,7.895446431964714,7.880755025997986,train
Hainan,8,1999,337.777696,6.635,5.83861267283584,0.01964309686096029,0.012779205,343.3027369262839,347.71802486253387,6.743528914075764,6.830258842676551,train
Hainan,8,2000,363.01030499999996,7.113,5.905582709242296,0.019594485065651233,-0.002819594,367.0810650076227,366.0475032377762,7.192764446175213,7.172512335511527,train
Hainan,8,2001,382.99173000000013,7.538,5.958339200051567,0.019681887125865615,-0.0036200546,386.96691563169156,385.5686067834445,7.616239154907316,7.588717797989019,train
Hainan,8,2002,501.91171414129826,10.197,6.2186789118833214,0.020316321999867364,-0.00022327527,502.03955523848083,501.9274747320754,10.199597260895175,10.197320197237133,train
Hainan,8,2003,657.7566800000001,12.645,6.479942275101566,0.019224434178304356,0.0011766478,651.9333124007328,652.7008598037935,12.533049052891819,12.547804717420687,train
Hainan,8,2004,823.624427,11.651,6.698697105083371,0.014146010752058477,0.0029419959,811.3480349920497,813.7385322436169,11.477338026659053,11.511154026482489,train
