province,province_id,year,Population,pGDP,GDP,EnergyIntensity,Industry,Urbanization,Energy,stirpat_log_pred,pred_residual,hybrid_log_energy_pred,energy_pred,co2_pred,co2_per_energy_assumed,log_GDP,log_pGDP,log_Population,residual
Gansu,4,2026,2432.5715686936232,6.062868651359028,14748.361906019823,0.4462279135764623,25.4244282343469,60.40617330536638,6773.355643521651,8.819360287402006,0.0013916194438934326,8.8207519068459,6773.355643521651,209.24809473190328,0.030892825616212517,9.598887298381662,1.8021830628864337,7.796704235495228,0.0013916194438934326
Gansu,4,2027,2421.85717335333,6.547898143467751,15858.074089144324,0.42732021853025587,24.37077512496789,61.60617330536638,6989.336656299615,8.849913439138478,0.00222749263048172,8.85214093176896,6989.336656299615,215.9203584960659,0.030892825616212517,9.671434055857269,1.879144104022562,7.792289951834706,0.00222749263048172
Gansu,4,2028,2411.189970156933,7.071729994945171,17051.284435469737,0.40921368567288474,23.317122015588875,62.806173305366386,7210.819883390928,8.880444865085684,0.002893073484301567,8.883337938569985,7210.819883390928,222.76260120751382,0.030892825616212517,9.743980813332875,1.9561051451586904,7.787875668174186,0.002893073484301567
Gansu,4,2029,2400.569751244038,7.637468394540785,18334.275604016973,0.39187436793405556,22.263468906209862,64.00617330536639,7439.3295298106195,8.9109521248014,0.0035838820040225983,8.914536006805422,7439.3295298106195,229.82190986597973,0.030892825616212517,9.816527570808484,2.033066186294819,7.783461384513664,0.0035838820040225983
Gansu,4,2030,2389.996309669782,8.248465866104048,19713.802980425837,0.37526975665831475,21.20981579683085,65.20617330536639,7675.1083632401305,8.941432447852542,0.004305243492126465,8.945737691344668,7675.1083632401305,237.10578425111163,0.030892825616212517,9.88907432828409,2.110027227430947,7.779047100853143,0.004305243492126465
Gansu,4,2031,2379.4694394008034,8.908343135392373,21197.130246362085,0.35936872065612907,20.156162687451836,66.4061733053664,7918.317578509588,8.971882664576675,0.005051370710134506,8.97693403528681,7918.317578509588,244.61920412668687,0.030892825616212517,9.961621085759697,2.1869882685670756,7.7746328171926224,0.005051370710134506
Gansu,4,2032,2368.988935311225,9.621010586223763,22792.067625276257,0.34414144783751116,19.102509578072823,67.6061733053664,8169.149529475011,9.002299118419097,0.005820967257022858,9.00812008567612,8169.149529475011,252.36811184683606,0.030892825616212517,10.034167843235306,2.2639493097032037,7.770218533532101,0.005820967257022858
Gansu,4,2033,2358.554593178658,10.390691433121665,24507.013005891233,0.32955938931876133,18.04885646869381,68.8061733053664,8427.779454945387,9.032677553544612,0.00661105290055275,9.039288606445165,8427.779454945387,260.3579210335264,0.030892825616212517,10.106714600710912,2.3409103508393323,7.7658042498715805,0.00661105290055275
Gansu,4,2034,2348.1662096802224,11.2219467477714,26350.996159947666,0.3155952058975343,16.995203359314797,70.0061733053664,8694.375888261215,9.063012968768067,0.0074186772108078,9.070431645978875,8694.375888261215,268.5938381578565,0.030892825616212517,10.17926135818652,2.417871391975461,7.761389966211059,0.0074186772108078
Gansu,4,2035,2337.8235823885852,12.119702487593113,28333.726287028778,0.3022227167958797,15.941550249935784,71.2061733053664,8969.098737191813,9.093299424830061,0.008241049945354462,9.101540474775415,8969.098737191813,277.0808032226586,0.030892825616212517,10.251808115662127,2.4948324331115894,7.7569756825505385,0.008241049945354462
