level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Sichuan,25,2026,22796.67368628397,31308.993700530234
province,baseline,Sichuan,25,2027,23271.371620988033,31386.18838357376
province,baseline,Sichuan,25,2028,23846.42359697601,31572.804224663578
province,baseline,Sichuan,25,2029,24497.11245666629,31829.290394713007
province,baseline,Sichuan,25,2030,25217.62892815476,32142.638099299755
province,baseline,Sichuan,25,2031,26066.34431110247,32690.841013956782
province,baseline,Sichuan,25,2032,27000.887388694497,33310.180559584216
province,baseline,Sichuan,25,2033,28028.99912513468,34004.77739402616
province,baseline,Sichuan,25,2034,29157.328724278585,34776.81616982676
province,baseline,Sichuan,25,2035,30381.923479502017,35615.508908782766
province,baseline,Tianjin,26,2024,8401.267437531164,11841.735079982249
province,baseline,Tianjin,26,2025,8297.544476875439,11386.286249322458
province,baseline,Tianjin,26,2026,8213.071073700185,11067.521387486458
province,baseline,Tianjin,26,2027,8117.316370954447,10738.005687660268
province,baseline,Tianjin,26,2028,8103.037869313578,10518.98851832346
province,baseline,Tianjin,26,2029,8108.951256727238,10326.390125882137
province,baseline,Tianjin,26,2030,8130.241795767428,10152.701972115361
province,baseline,Tianjin,26,2031,8181.059366478644,10048.694519146868
province,baseline,Tianjin,26,2032,8240.050059765685,9952.478236871211
province,baseline,Tianjin,26,2033,8306.429523056226,9862.619914615332
province,baseline,Tianjin,26,2034,8380.618372712072,9779.156615862375
province,baseline,Tianjin,26,2035,8458.831869369636,9697.26991188082
province,baseline,Xinjiang,27,2024,24171.44203124127,26098.81791050152
province,baseline,Xinjiang,27,2025,25111.911953009658,26178.357808953555
province,baseline,Xinjiang,27,2026,26403.45260423152,26872.634785325004
province,baseline,Xinjiang,27,2027,27681.24846960652,27489.46526145153
province,baseline,Xinjiang,27,2028,29100.634323376045,28180.28975797501
province,baseline,Xinjiang,27,2029,30635.318067484513,28909.80609151205
province,baseline,Xinjiang,27,2030,32277.431098954534,29662.240309286208
province,baseline,Xinjiang,27,2031,34082.79755507766,30623.657008076752
province,baseline,Xinjiang,27,2032,35965.552445236215,31579.111968977046
province,baseline,Xinjiang,27,2033,37890.54260512364,32493.70654899318
province,baseline,Xinjiang,27,2034,39814.51873538818,33328.64318996969
province,baseline,Xinjiang,27,2035,41676.69941151756,34034.34836683852
