province,year,CO2,GDP,Population,Energy,CoalShare,Industry,Urbanization,HighwayMileage,PrivateCars,A,B,C,CO2_source,pGDP,CarbonIntensity,log_CO2,log_GDP,log_Population,log_Energy,log_PrivateCars,log_pGDP,log_CarbonIntensity,province_id,stirpat_log_pred,residual
Hebei,1993,176.987,1690.84,6334.0,3020.646251544288,64.79855690982082,41.97118792574165,24.663953314917897,3700.0,54.6167,0.2669466371960846,1.7864766929717113,0.0585924286597665,MEIC_1990_2023,0.26694663719608464,0.10467400818528069,5.176076283548832,7.432980725853067,8.753687227098585,8.013226078053776,4.00033969679084,-1.3207065012455181,-2.256904442304235,9,5.16826606435267,0.007810219196161761
Hebei,1994,181.981,2187.49,6388.0,3522.663241981105,66.06620585520074,43.55898577611155,25.55108575866768,3800.0,65.0506,0.3424373825923606,1.6103677008722808,0.0516600615781984,MEIC_1990_2023,0.3424373825923606,0.08319169459060385,5.2039022860227995,7.690510046792749,8.762176509334903,8.166972585348049,4.1751654285900734,-1.0716664625421541,-2.4866077607699495,9,5.201140452941431,0.002761833081368792
Hebei,1995,213.87,2849.52,6437.0,4085.797729473909,67.20258180542186,45.03460764637881,26.471870167495705,3800.0,72.64,0.4426782662731086,1.4338547297348003,0.0523447351436895,MEIC_1990_2023,0.4426782662731086,0.07505474606249474,5.365368353797646,7.954905838025646,8.769817872052617,8.315272270841888,4.285515734293038,-0.8149120340269694,-2.589537484228,9,5.351510788676248,0.013857565121398352
Hebei,1996,221.053,3452.97,6484.0,4713.213068263694,68.21226727995398,48.2,27.426861208123583,4200.0,69.4,0.5325370141887723,1.3649736511651402,0.0469007016653787,MEIC_1990_2023,0.5325370141887723,0.06401822199439902,5.398402491770297,8.146990009254944,8.777092882855566,8.458125134529837,4.239886867512759,-0.6301028736006229,-2.748587517484647,9,5.380620285825402,0.017782205944895324
Hebei,1997,227.842,3953.78,6525.0,6905.174588200001,68.14437407623313,48.9,28.416529415464552,4200.0,77.34,0.6059432950191571,1.7464741559216752,0.0329958348032721,MEIC_1990_2023,0.6059432950191571,0.05762637273697575,5.4286524062749715,8.282427362324237,8.783396232190894,8.840026349839462,4.348211286179151,-0.5009688698666575,-2.853774956049265,9,5.436270025664186,-0.007617619389214347
Hebei,1998,228.724,4256.01,6569.0,6699.639246800003,71.30651226156405,49.0,29.441249319009128,4000.0,81.03,0.6478931344192419,1.5741596581774957,0.0341397486602352,MEIC_1990_2023,0.6478931344192419,0.053741415081261554,5.432516036493521,8.35608738064278,8.790116892892472,8.809808960168237,4.394819456472634,-0.43402951224969283,-2.9235713441492592,9,5.433635567057599,-0.0011195305640780973
Hebei,1999,242.891,4569.19,6614.0,6840.111239800001,71.53456266221583,49.10258,30.50128712508697,4000.0,91.08,0.6908361052313274,1.4970073995172015,0.0355098026164705,MEIC_1990_2023,0.6908361052313274,0.05315843727225176,5.492612783036783,8.427091225290471,8.796943893541737,8.830559273613009,4.5117382411955385,-0.36985266825126745,-2.934478442253688,9,5.490810762930571,0.001802020106212332
Hebei,2000,262.421,5088.96,6674.0,7207.518588199999,70.16620440326872,50.30419,31.59678807819081,3600.0,104.13,0.7625052442313456,1.4163048222426584,0.0364093407167385,MEIC_1990_2023,0.7625052442313456,0.05156672483179274,5.569950084355471,8.534828766467552,8.80597465931132,8.882880008517208,4.645640118541804,-0.2711458928437683,-2.9648786821120807,9,5.565909220472126,0.004040863883344237
Hebei,2001,280.292,5516.76,6699.0,7571.519851400002,70.39928812990445,49.6,32.72776365153786,4600.0,119.8784,0.8235199283475146,1.3724577200023205,0.0370192518148351,MEIC_1990_2023,0.8235199283475146,0.05080735794198043,5.635831916914355,8.615546010422987,8.809713540508268,8.932149099251557,4.786477895679381,-0.19416753008528018,-2.979714093508633,9,5.6314880827352605,0.00434383417909423
Hebei,2002,307.717,6018.28,6735.0,8377.8349226,71.31793691568387,49.8,33.89407874495593,4600.0,135.74,0.8935827765404603,1.3920646634254303,0.0367298953539779,MEIC_1990_2023,0.8935827765404603,0.05113038941358661,5.729180529420632,8.70255678319305,8.815073088844464,9.033344797636564,4.910741291275612,-0.11251630565141468,-2.9733762537724178,9,5.724740113935357,0.004440415485275295
