province,year,base_year,delta_CO2,delta_P,delta_A,delta_B,delta_C,lmdi_residual,resid_ratio,lmdi_residual_abs_ratio
Jiangsu,2016,2015,19.374000000000024,5.176419507834022,59.432142278308035,-45.567915359408595,0.33335357326637766,1.7763568394002505e-13,9.16876659130922e-15,9.16876659130922e-15
Jiangsu,2017,2016,10.769999999999982,3.3484125813736787,66.31258305602441,-57.415036073696456,-1.4759595637017173,6.750155989720952e-14,6.2675543080046086e-15,6.2675543080046086e-15
Jiangsu,2018,2017,0.8099999999999454,1.8424142235162597,49.10643854132614,-30.536882660290296,-19.60197010455236,2.0250467969162855e-13,2.5000577739708914e-13,2.5000577739708914e-13
Jiangsu,2019,2018,15.680000000000064,1.8597446783030012,48.225560126879905,-15.832704228154427,-18.57260057702786,-5.577760475716786e-13,3.557245201349977e-14,3.557245201349977e-14
Jiangsu,2020,2019,-26.13900000000001,0.6406955227748233,20.06832866446587,-24.795033824721685,-22.052990362518905,-1.1368683772161603e-13,4.349318555477103e-15,4.349318555477103e-15
Jiangsu,2021,2020,45.38199999999995,2.2688646176398426,83.54807429305752,-55.83601590975245,15.40107699905482,1.9895196601282805e-13,4.383940020555028e-15,4.383940020555028e-15
Jiangsu,2022,2021,2.3079999999999927,0.8368113496969607,37.93671347958683,-27.7465905812661,-8.718934248017762,6.927791673660977e-14,3.0016428395411607e-14,3.0016428395411607e-14
Jiangsu,2023,2022,41.55600000000004,0.9474201241457183,30.309441504990293,-8.949424646022742,19.248563016886695,7.105427357601002e-14,1.7098439112525254e-15,1.7098439112525254e-15
Jiangxi,1991,1990,3.2680000000000007,0.6244749657877767,4.251159426836664,0.7345345910833291,-2.342168983707784,1.4654943925052066e-14,4.484376966050203e-15,4.484376966050203e-15
Jiangxi,1992,1991,3.202999999999996,0.5777382078877084,7.736683734648834,-2.4239209830322284,-2.687500959504318,4.440892098500626e-16,1.3864789567594854e-16,1.3864789567594854e-16
Jiangxi,1993,1992,6.787000000000006,0.6961925265760607,11.379798760659206,-5.714896777054118,0.425905489818871,-1.3322676295501878e-14,1.9629698387360934e-15,1.9629698387360934e-15
Jiangxi,1994,1993,1.1749999999999972,0.685191285783542,14.440003987668232,-8.428653021409433,-5.521542252042335,-9.769962616701378e-15,8.314861801448002e-15,8.314861801448002e-15
Jiangxi,1995,1994,4.366999999999997,0.6957807006392188,11.599245269777766,-5.439743078483336,-2.4882828919336837,3.197442310920451e-14,7.321828053401541e-15,7.321828053401541e-15
Jiangxi,1996,1995,-2.370999999999995,0.6125599231049543,14.881914549459665,-8.693838468106026,-9.171636004458604,1.5987211554602254e-14,6.742813814678316e-15,6.742813814678316e-15
Jiangxi,1997,1996,-2.0890000000000057,0.6251017908118228,6.404873940604041,13.712623038915494,-22.83159877033136,-3.552713678800501e-15,1.700676725131877e-15,1.700676725131877e-15
Jiangxi,1998,1997,-0.5499999999999972,0.5507498022626321,3.748193005054536,-5.348810643790457,0.4998678364733163,-2.4646951146678475e-14,4.481263844850655e-14,4.481263844850655e-14
Jiangxi,1999,1998,0.7319999999999993,0.5330099849047775,2.7332196530514525,-4.114595301885817,1.5803656639295713,1.509903313490213e-14,2.0627094446587628e-14,2.0627094446587628e-14
Jiangxi,2000,1999,2.990000000000002,-1.1413447437461102,2.313131774522564,-2.355159617026975,4.173372586250528,-4.884981308350689e-15,1.6337730128263162e-15,1.6337730128263162e-15
Jiangxi,2001,2000,4.272999999999996,0.551211007092961,4.539073162151334,-0.570769410394854,-0.2465147588494259,-1.865174681370263e-14,4.365023827218031e-15,4.365023827218031e-15
Jiangxi,2002,2001,6.7280000000000015,0.5837245446678707,7.391351394603536,-0.40176511785749125,-0.8453108214139124,-1.7763568394002505e-15,2.6402450050538796e-16,2.6402450050538796e-16
