province,year,CO2,GDP,Population,Energy,CoalTCE,OilTCE,GasTCE,NonFossilTCE,CoalShare,OilShare,GasShare,NonFossilShare,Industry,Urbanization,A,B,C,EnergyIntensity,CO2_source
Jilin,2008,184.258,6426.1,2734.0,5761.6285389333,2983.7765765333,1259.5382440000003,167.048,1351.2657184000002,51.78703480050646,21.860802644406323,2.8993191572695007,23.452843397817723,47.7,53.21,2.350438917337235,0.8965980204063584,0.031980194272314764,0.8965980204063584,MEIC_1990_2023
Jilin,2009,189.76,7278.75,2740.0,6007.455902800001,3216.90416,1216.809498,171.96900000000005,1401.7732448000002,53.54852723098043,20.254988429176155,2.862592797724032,23.333891542119368,48.7,53.32,2.656478102189781,0.8253417005392412,0.031587414551233775,0.8253417005392412,MEIC_1990_2023
Jilin,2010,208.657,8667.58,2747.0,6711.570486999999,3608.402186000001,1351.395385,231.4200000000001,1520.352916,53.763902099952745,20.13530793750271,3.4480752373568886,22.65271472518769,52.0,53.35,3.1552894066254096,0.7743303767602951,0.031089146780795784,0.7743303767602951,MEIC_1990_2023
Jilin,2011,238.332,10568.83,2725.0,7521.540002400001,4219.964366000002,1467.31679,195.51,1638.7488464000003,56.1050578027037,19.508196320591303,2.599334709881433,21.787411166823578,53.1,53.4,3.878469724770642,0.7116719639165358,0.031686596085901575,0.7116719639165358,MEIC_1990_2023
Jilin,2012,233.088,11939.24,2698.0,7503.563292000002,4104.824096,1367.5143739999999,236.87300000000008,1794.3518220000003,54.7049972961033,18.224866250651726,3.1568068500540876,23.913329603190878,53.41018,54.54,4.425218680504077,0.6284791403807949,0.031063641489971715,0.6284791403807949,MEIC_1990_2023
Jilin,2013,234.09,13046.4,2668.0,7460.966407399999,3777.3805120000006,1413.781421,259.616,2010.1884743999994,50.628568817217655,18.949038821536192,3.4796564657160958,26.942735895530067,52.8,55.74,4.889955022488755,0.5718793235988472,0.03137529204900626,0.5718793235988472,MEIC_1990_2023
Jilin,2014,229.502,13803.14,2642.0,7296.3286584,3600.0595540000004,1409.396782,258.153,2028.7193224,49.34069889869039,19.316519964837553,3.5381218704121524,27.804659266059907,52.8,56.81,5.22450416351249,0.5285991925315544,0.031454449318943804,0.5285991925315544,MEIC_1990_2023
Jilin,2015,208.214,14063.13,2613.0,7067.559876200001,3336.5440709999993,1316.74705,258.286,2155.9827552,47.2092791493116,18.630858076408295,3.654528642477834,30.505334131802258,49.81615,57.64,5.3819862227324915,0.5025595209743493,0.029460521544523506,0.5025595209743493,MEIC_1990_2023
Jilin,2016,208.796,14776.8,2567.0,6750.2372828,3096.9534259999996,1380.9128699999999,269.325,2003.0459868000003,45.87917870518743,20.457249310607892,3.9898597444308495,29.673712239773835,47.40505,58.75,5.756447214647448,0.4568131992582968,0.030931653400099644,0.4568131992582968,MEIC_1990_2023
Jilin,2017,205.66,14944.53,2526.0,6574.8539656,2589.183034,1442.916752,313.481,2229.2731796,39.38008429611896,21.94598936416566,4.767877760329734,33.90604857938565,46.82991,59.71,5.916282660332542,0.439950534784299,0.03127978219379845,0.439950534784299,MEIC_1990_2023
Jilin,2018,193.352,15074.62,2484.0,5855.274221199999,2068.920232,1413.9085340000001,379.44899999999996,1992.9964551999997,35.33430124432308,24.147605741174477,6.480465058769433,34.037627955733015,42.53,60.85,6.068687600644123,0.38841935791416293,0.03302185221316138,0.38841935791416293,MEIC_1990_2023
