level,scenario,province,province_id,year,energy_pred,co2_pred
province,baseline,Jiangsu,15,2033,49553.87725293349,52070.07806931936
province,baseline,Jiangsu,15,2034,50236.47983278698,50855.74856026686
province,baseline,Jiangsu,15,2035,50967.94503628598,49636.51310169265
province,baseline,Jiangxi,16,2024,12757.006533809723,20098.545217350405
province,baseline,Jiangxi,16,2025,13251.42043561618,20788.307664526288
province,baseline,Jiangxi,16,2026,13766.139187112167,21517.03589983782
province,baseline,Jiangxi,16,2027,14302.178734650322,22273.07906975531
province,baseline,Jiangxi,16,2028,14784.962851245113,22940.35878305337
province,baseline,Jiangxi,16,2029,15200.707530936379,23013.273889688408
province,baseline,Jiangxi,16,2030,15625.927797847306,23068.88074244049
province,baseline,Jiangxi,16,2031,15772.895325285119,22679.38412089902
province,baseline,Jiangxi,16,2032,15952.694964116223,22324.53163296947
province,baseline,Jiangxi,16,2033,16156.783206151054,21988.9086302389
province,baseline,Jiangxi,16,2034,16379.214998965317,21661.850967404454
province,baseline,Jiangxi,16,2035,16615.56661238296,21335.562333557926
province,baseline,Jilin,17,2024,7556.7428324980465,10238.85211520601
province,baseline,Jilin,17,2025,7862.566441317074,10600.30640475639
province,baseline,Jilin,17,2026,8181.5408665858795,10983.549081064255
province,baseline,Jilin,17,2027,8514.102682732479,11381.305760775986
province,baseline,Jilin,17,2028,8815.82464857513,11734.208881207838
province,baseline,Jilin,17,2029,9078.111426051733,11741.622770230982
province,baseline,Jilin,17,2030,9346.49941158274,11736.953359271158
province,baseline,Jilin,17,2031,9554.142863573596,11630.346757661395
province,baseline,Jilin,17,2032,9749.218132111582,11492.956254913966
province,baseline,Jilin,17,2033,9936.171859382272,11331.302582997561
province,baseline,Jilin,17,2034,10118.095506229594,11149.729225659003
province,baseline,Jilin,17,2035,10297.260940363234,10951.232555064313
province,baseline,Liaoning,18,2024,32157.590896402227,52170.34805394684
province,baseline,Liaoning,18,2025,33415.76731913902,53986.64213226501
province,baseline,Liaoning,18,2026,34726.90762552836,55906.28753972217
province,baseline,Liaoning,18,2027,36093.36104385822,57899.664796350415
province,baseline,Liaoning,18,2028,37326.97828865997,59665.07866203146
province,baseline,Liaoning,18,2029,38392.507182990186,59923.172793449965
province,baseline,Liaoning,18,2030,39483.13408980219,60139.282294872755
province,baseline,Liaoning,18,2031,39997.278147671655,59384.512589668295
province,baseline,Liaoning,18,2032,40561.263104253885,58662.28829617628
province,baseline,Liaoning,18,2033,41163.64547809737,57950.74997511877
province,baseline,Liaoning,18,2034,41795.22362296941,57232.86808275801
province,baseline,Liaoning,18,2035,42450.283800658995,56497.67039361959
province,baseline,Ningxia,19,2024,8636.908389179245,13327.526525307265
province,baseline,Ningxia,19,2025,8968.105206182594,13778.237656710331
province,baseline,Ningxia,19,2026,9313.11723983995,14255.029296513912
province,baseline,Ningxia,19,2027,9672.627837199243,14749.983147672596
province,baseline,Ningxia,19,2028,9996.267794127463,15186.329522485954
